sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Germany;79;DE;Apples;515;Fruits;m3;125572000;276583008;319721984;138567008;157592000;164603008;192487008;198004992;195179008;160687008;190208992;131303000;217530000;165524992;247715008;198250000;347075008;218855008;237716000;204795008;271084992;382313984;301256992;458729984;617640000;513465984;537260992;528800000;525627008;446308000;207290000;207290000;207290000;192483008;190896992;192484000;189311008;189311008;189311008;661001024;370160000;291280000;164795008;171040992;171008992;171880992;167740992;168158000;168227008;168259008;167143008;167312992;167350000;166387008;166086000;165694000
Germany;79;DE;Asparagus;367;Vegetables;m3;35301900;37245400;36544200;38846600;38015600;37764700;37912700;30082500;33940100;34914800;38574000;33718400;33934800;33296400;31325200;31934300;33250900;35347700;35434300;36362700;36128200;35427700;35501200;36623900;37519100;38209200;37689400;45503000;47133100;45423600;35633400;42876100;45946700;47012400;52068200;59851600;62119600;64172100;65128700;66086200;73534400;81043800;86082896;95415600;103240000;104899000;106049000;105057000;103656000;107098000;106056000;110147000;111884000;114666000;117356000;126929000
Germany;79;DE;"Carrots and turnips";426;Vegetables;m3;30160100;36153300;45295300;36469000;34175900;35841400;37678200;39077700;38697400;45154600;41849900;40062600;41294800;38758300;41089400;41389700;56399500;48824300;52516700;49516400;50535500;48725400;49630400;54566500;56080100;51588900;50535600;52999700;58981600;44587900;25592900;26840200;26163300;24805700;28688400;30593600;29547800;31860000;32263100;35651400;33765100;34077000;35195000;39944700;37488100;38191600;38853300;38887600;39819200;39423700;36822600;38598500;38746800;38450200;36692600;42625700
Germany;79;DE;Cherries;531;Fruits;m3;103680000;76745296;135907008;109654000;371806016;365684992;295391008;165615008;136130000;128985000;92444704;135220992;144175008;54348200;114429000;100982000;93830304;149026000;121377000;120512000;78102800;110441000;136592000;121950000;655027968;600665024;559921984;549910976;513148000;478460000;127530000;127530000;127530000;127530000;127530000;127531000;114160000;114160000;114160000;114160000;114160000;98733104;92618704;95000600;95415800;95984704;93948200;94051000;93896800;93016096;92135800;89425200;89874896;89616200;89443400;88476704
Germany;79;DE;"Chillies and peppers, green";401;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10991.2998046875;11634.2998046875;10022.5;9691.7001953125;10020.2001953125;10024.400390625;10023.7001953125;9700.3203125;10986.900390625;0;11960.599609375;11314.099609375;13253.7001953125;13900.2001953125;12607.099609375;13900.2001953125;20688.69921875;20688.69921875;23274.69921875;23992.19921875;26507.30078125
Germany;79;DE;"Cucumbers and gherkins";397;Vegetables;m3;34405000;38162900;43466400;36384700;33014100;34354700;33928600;28319000;24348200;25324400;23929700;23829000;23550100;20540000;20776300;19583100;20179800;18374400;18246600;16596300;17270400;16894600;15744000;13489300;14043300;14922700;13714000;17216100;17824300;12385200;12133400;12691200;11513600;13295600;14841300;14810300;14880100;13834100;13694600;13330500;13334300;12784200;13826300;11618100;12664100;11730500;12489800;11955200;11680100;12052000;11354700;11432200;10688400;11416700;10579800;10591500
Germany;79;DE;Grapes;560;Fruits;m3;250228992;253522000;258118000;259134000;259863008;261184992;262294000;265143008;269377984;278304992;285155008;292848992;304444000;313531008;320862016;325871008;331287008;335767008;330763008;337915008;336108000;336164000;341262016;348148000;351260000;351408000;352230016;352979008;354755008;358180000;375372992;378996992;388563008;391692000;389952992;386788992;386966016;383905984;382643008;383456992;376539008;372982016;371088000;371588000;373371008;374491008;376492992;376652992;378001984;377267008;376664000;376047008;375684992;377902016;377280000;377768000
Germany;79;DE;"Lettuce and chicory";372;Vegetables;m3;12648400;10662800;11215400;10407700;11030500;11161600;11819500;11974000;11985800;12456400;14643300;13610700;11976400;11039800;11487100;11775100;11864000;11969300;11938900;10908700;10831400;10555200;11044500;10899300;10117300;9457000;10407600;10065800;9815260;10398200;12877800;16249500;11941200;13229000;12409500;31944000;14104800;15549400;17858000;25928900;25226500;25788400;25753400;28312500;27212000;31349300;32747200;35467800;35566300;34145000;32281100;34728000;32365500;33512800;33132000;33430800
Germany;79;DE;Maize;56;Cereals;m3;34586600;53672300;55780800;73955400;107327000;122716000;161066000;226304992;317246016;401472992;458584992;486164992;421248000;416550016;369876000;393023008;383428000;449048000;446638016;458963008;496815008;615446016;648118016;696080000;694456000;718467968;745270016;764305024;800776000;877689984;1084850048;1133170048;1269069952;1323960064;1245880064;1426200064;1411459968;1307059968;1420920064;1382989952;1519840000;1528269952;1775890048;1769529984;1698269952;1536899968;1545379968;1994840064;1779640064;1788300032;1869970048;2016770048;1904839936;1844669952;1745789952;1595549952
Germany;79;DE;"Mushrooms and truffles";449;Vegetables;m3;1444860;1356310;1603490;1206420;2347600;2830550;2466590;2359030;2973830;4114880;3401880;4407290;4978440;5433960;5595420;5228540;5594550;6089600;6540000;6136120;6468260;6271690;6191220;5674500;5061170;5325800;5669290;5771920;16818800;15023400;6361070;6785150;6529970;6501210;6361100;6555560;6637690;6608970;6580490;6770660;6850470;6713060;5390820;5355590;5320810;6238050;5777860;5949820;5414300;6184200;6366220;5404840;6076030;5995470;6421220;6973620
Germany;79;DE;"Peaches and nectarines";534;Fruits;m3;37576100;45509400;19275300;26308000;11328800;29133600;15947800;28129400;18498700;28492500;17623600;9367410;15312500;14336900;28511700;7863570;8546630;16651300;8698950;13949200;4835440;19459100;15688000;15941700;24915200;31710000;29708100;30656700;28681500;25863300;12580900;1053490;1053490;1053490;1053490;1053490;1053490;1053490;1053490;1053490;1053490;526746;532021;542545;547816;547816;553082;579418;532888;441908;348678;365621;353653;342454;331939;322051
